cadastral_number,su_nmb,x,y
47:20:0835002:2,1,6583287.36,299533.80
47:20:0835002:2,2,6583468.93,299559.54
47:20:0835002:2,3,6583437.31,299726.78
47:20:0835002:2,4,6583353.45,299723.11
47:20:0835002:2,5,6583299.07,299723.12
47:20:0835002:2,6,6583273.77,299663.35
47:20:0835002:2,7,6583268.64,299623.93
47:20:0835002:2,1,6583287.36,299533.80
47:20:0835002:3,1,6583486.40,299964.20
47:20:0835002:3,2,6583603,299870.80
47:20:0835002:3,3,6584219,299881.30
47:20:0835002:3,4,6584246.50,299924.80
47:20:0835002:3,5,6583842.70,300306
47:20:0835002:3,6,6583598.80,300067.70
47:20:0835002:3,1,6583486.40,299964.20
47:20:0835002:4,1,6581318.56,300040.31
47:20:0835002:4,2,6581320.89,300040.26
47:20:0835002:4,3,6581320.89,300040.26
47:20:0835002:4,4,6581359.59,300098.54
47:20:0835002:4,5,6581358.53,300100.67
47:20:0835002:4,6,6581358.53,300100.67
47:20:0835002:4,7,6581288.60,300104.88
47:20:0835002:4,8,6581287.10,300103.02
47:20:0835002:4,9,6581287.10,300103.02
47:20:0835002:4,1,6581318.56,300040.31
47:20:0835002:5,1,6583869.97,300941.78
47:20:0835002:5,2,6583969.31,300990.47
47:20:0835002:5,3,6584004.88,300994.88
47:20:0835002:5,4,6584095.01,301027.28
47:20:0835002:5,5,6583955.93,301326.89
47:20:0835002:5,6,6583737.97,301225.16
47:20:0835002:5,1,6583869.97,300941.78
47:20:0835002:27,1,6584106.22,301495.12
47:20:0835002:27,2,6584063.11,301554.43
47:20:0835002:27,3,6583728.19,301401.44
47:20:0835002:27,4,6583761.88,301334.82
47:20:0835002:27,1,6584106.22,301495.12
47:20:0835002:28,1,6584063.11,301554.43
47:20:0835002:28,2,6584017.16,301617.22
47:20:0835002:28,3,6583714.36,301482.96
47:20:0835002:28,4,6583728.19,301401.44
47:20:0835002:28,1,6584063.11,301554.43
47:20:0835002:34,1,6583643.90,300758
47:20:0835002:34,2,6583708.48,300791.90
47:20:0835002:34,3,6583752.77,300831.70
47:20:0835002:34,4,6583818.01,300911.21
47:20:0835002:34,5,6583683.98,301198.94
47:20:0835002:34,6,6583512.57,301117.53
47:20:0835002:34,7,6583573.50,300992.50
47:20:0835002:34,8,6583627.21,301028.42
47:20:0835002:34,9,6583641.40,301015.28
47:20:0835002:34,10,6583644.70,301006.17
47:20:0835002:34,11,6583655.50,300994.50
47:20:0835002:34,12,6583668.27,300993.50
47:20:0835002:34,13,6583680,300978.70
47:20:0835002:34,14,6583673.50,300966.50
47:20:0835002:34,15,6583631.40,300937.93
47:20:0835002:34,16,6583603.30,300892.90
47:20:0835002:34,17,6583580.70,300839.86
47:20:0835002:34,18,6583545.50,300806.30
47:20:0835002:34,19,6583504,300788.20
47:20:0835002:34,20,6583494.20,300771.50
47:20:0835002:34,21,6583500.75,300748.85
47:20:0835002:34,22,6583522.65,300731.55
47:20:0835002:34,23,6583571.90,300728.40
47:20:0835002:34,1,6583643.90,300758
47:20:0835002:43,1,6582719.97,301205.98
47:20:0835002:43,2,6582642.47,301084.12
47:20:0835002:43,3,6582820.64,301052.60
47:20:0835002:43,4,6583049.18,301048.50
47:20:0835002:43,5,6583058.92,301150.06
47:20:0835002:43,6,6583005.02,301157.99
47:20:0835002:43,7,6582995.13,301201.62
47:20:0835002:43,1,6582719.97,301205.98
47:20:0835002:46,1,6582938.95,302133.24
47:20:0835002:46,2,6583132.69,302426.84
47:20:0835002:46,3,6583316.83,302706.19
47:20:0835002:46,4,6583334.75,302683.18
47:20:0835002:46,5,6583329.49,302675.19
47:20:0835002:46,6,6582962.25,302117.67
47:20:0835002:46,1,6582938.95,302133.24
47:20:0835002:47,1,6581524.02,300533.62
47:20:0835002:47,2,6581489.21,300506.75
47:20:0835002:47,3,6581497.32,300495.01
47:20:0835002:47,4,6581564.39,300547.37
47:20:0835002:47,5,6581573.06,300536.38
47:20:0835002:47,6,6581704.73,300637.89
47:20:0835002:47,7,6581827.59,300732.61
47:20:0835002:47,8,6581935.53,300815.83
47:20:0835002:47,9,6582018.29,300895.69
